case_id,point_id,time_local,time_utc,lat_deg,lon_deg,alt_km,alt_m,maidenhead_grid,vertical_speed_m_min,speed_kmh,computed_speed_kmh,voltage_v,temperature_c,rx_reports,avg_rx_frequency_hz,max_rx_distance_km,max_snr_db,source_row
k7uaz_20260322,k7uaz_20260322_001,2026-03-22T12:18:00-0700,2026-03-22T19:18:00Z,32.27,-110.96,2.34,2340.0,DM42mg,,19,,3.6,21,2,95,26,16,1
k7uaz_20260322,k7uaz_20260322_002,2026-03-22T12:28:00-0700,2026-03-22T19:28:00Z,32.27,-110.88,2.88,2880.0,DM42ng,54.0,37,,3.7,16,2,95,28,10,2
k7uaz_20260322,k7uaz_20260322_003,2026-03-22T12:38:00-0700,2026-03-22T19:38:00Z,32.31,-110.79,3.66,3660.0,DM42oh,78.0,48,,3.7,11,1,164,29,26,3
k7uaz_20260322,k7uaz_20260322_004,2026-03-22T12:48:00-0700,2026-03-22T19:48:00Z,32.35,-110.71,4.28,4280.0,DM42pi,62.0,30,,3.8,6,1,164,32,23,4
k7uaz_20260322,k7uaz_20260322_005,2026-03-22T14:18:00-0700,2026-03-22T21:18:00Z,32.31,-110.29,11.28,11280.0,DM42uh,78.0,33,31.0,4.05,-21,3,173,625,16,5
k7uaz_20260322,k7uaz_20260322_006,2026-03-22T14:28:00-0700,2026-03-22T21:28:00Z,32.31,-110.21,11.44,11440.0,DM42vh,16.0,37,,4.15,-18,3,173,633,14,6
k7uaz_20260322,k7uaz_20260322_007,2026-03-22T14:38:00-0700,2026-03-22T21:38:00Z,32.27,-110.13,11.74,11740.0,DM42wg,30.0,41,,3.9,-22,4,174,641,12,7
k7uaz_20260322,k7uaz_20260322_008,2026-03-22T14:48:00-0700,2026-03-22T21:48:00Z,32.27,-110.13,11.74,11740.0,DM42wg,0.0,41,,4.0,-19,4,175,12185,11,8
k7uaz_20260322,k7uaz_20260322_009,2026-03-22T14:58:00-0700,2026-03-22T21:58:00Z,32.27,-110.04,11.78,11780.0,DM42xg,4.0,41,,4.05,-23,3,173,649,6,9
k7uaz_20260322,k7uaz_20260322_010,2026-03-22T15:08:00-0700,2026-03-22T22:08:00Z,32.27,-109.96,11.76,11760.0,DM52ag,-2.0,41,,3.85,-22,4,174,12886,9,10
k7uaz_20260322,k7uaz_20260322_011,2026-03-22T15:18:00-0700,2026-03-22T22:18:00Z,32.23,-109.88,12.0,12000.0,DM52bf,24.0,37,40.0,4.1,-25,4,177,12891,9,11
k7uaz_20260322,k7uaz_20260322_012,2026-03-22T15:28:00-0700,2026-03-22T22:28:00Z,32.23,-109.79,11.78,11780.0,DM52cf,-22.0,37,,4.0,-28,3,175,12213,7,12
