case_id,radar_site,scan_time_utc,scan_filename,scan_local_path,expected_lat_deg,expected_lon_deg,expected_alt_km,expected_alt_m,expected_maidenhead_grid,distance_to_expected_km,expected_elevation_deg,is_geometrically_visible,time_offset_min,inside_track_window
k7uaz_20260322,KEMX,2026-03-22T18:49:37Z,KEMX20260322_184937_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_184937_V06,32.27,-110.96,2.34,2340.0,DM42mg,52.12,0.61,True,-28.3833,False
k7uaz_20260322,KEMX,2026-03-22T18:56:42Z,KEMX20260322_185642_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_185642_V06,32.27,-110.96,2.34,2340.0,DM42mg,52.12,0.61,True,-21.3,False
k7uaz_20260322,KEMX,2026-03-22T19:03:48Z,KEMX20260322_190348_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_190348_V06,32.27,-110.96,2.34,2340.0,DM42mg,52.12,0.61,True,-14.2,False
k7uaz_20260322,KEMX,2026-03-22T19:10:53Z,KEMX20260322_191053_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_191053_V06,32.27,-110.96,2.34,2340.0,DM42mg,52.12,0.61,True,-7.1167,False
k7uaz_20260322,KEMX,2026-03-22T19:17:58Z,KEMX20260322_191758_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_191758_V06,32.27,-110.96,2.34,2340.0,DM42mg,52.12,0.61,True,-0.0333,False
k7uaz_20260322,KEMX,2026-03-22T19:25:04Z,KEMX20260322_192504_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_192504_V06,32.27,-110.903467,2.7216,2721.6,DM42ng,49.13,1.12,True,-2.9333,True
k7uaz_20260322,KEMX,2026-03-22T19:32:08Z,KEMX20260322_193208_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_193208_V06,32.286533,-110.8428,3.2024,3202.4,DM42ng,48.06,1.72,True,4.1333,True
k7uaz_20260322,KEMX,2026-03-22T19:39:14Z,KEMX20260322_193914_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_193914_V06,32.314933,-110.780133,3.7365,3736.5,DM42oh,48.93,2.31,True,1.2333,True
k7uaz_20260322,KEMX,2026-03-22T19:46:20Z,KEMX20260322_194620_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_194620_V06,32.343333,-110.723333,4.1767,4176.7,DM42pi,50.77,2.71,True,-1.6667,True
k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_195325_V06,32.347593,-110.684722,4.7013,4701.3,DM42pi,50.74,3.3,True,5.4167,True
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_200031_V06,32.344437,-110.651589,5.2535,5253.5,DM42pi,50.17,3.97,True,12.5167,True
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_200736_V06,32.341289,-110.618533,5.8044,5804.4,DM42pi,49.79,4.64,True,19.6,True
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_201442_V06,32.338133,-110.5854,6.3567,6356.7,DM42pi,49.6,5.29,True,26.7,True
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_202135_V06,32.335074,-110.553278,6.892,6892.0,DM42pi,49.62,5.9,True,33.5833,True
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_202840_V06,32.331926,-110.520222,7.443,7443.0,DM42pi,49.82,6.5,True,40.6667,True
k7uaz_20260322,KEMX,2026-03-22T20:35:45Z,KEMX20260322_203545_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_203545_V06,32.328778,-110.487167,7.9939,7993.9,DM42uh,50.23,7.06,True,-42.25,True
k7uaz_20260322,KEMX,2026-03-22T20:42:51Z,KEMX20260322_204251_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_204251_V06,32.325622,-110.454033,8.5461,8546.1,DM42uh,50.82,7.59,True,-35.15,True
k7uaz_20260322,KEMX,2026-03-22T20:49:55Z,KEMX20260322_204955_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_204955_V06,32.322481,-110.421056,9.0957,9095.7,DM42uh,51.59,8.07,True,-28.0833,True
k7uaz_20260322,KEMX,2026-03-22T20:57:01Z,KEMX20260322_205701_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_205701_V06,32.319326,-110.387922,9.648,9648.0,DM42uh,52.55,8.51,True,-20.9833,True
k7uaz_20260322,KEMX,2026-03-22T21:04:07Z,KEMX20260322_210407_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_210407_V06,32.31617,-110.354789,10.2002,10200.2,DM42uh,53.67,8.91,True,-13.8833,True
k7uaz_20260322,KEMX,2026-03-22T21:11:05Z,KEMX20260322_211105_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_211105_V06,32.313074,-110.322278,10.742,10742.0,DM42uh,54.92,9.25,True,-6.9167,True
k7uaz_20260322,KEMX,2026-03-22T21:18:05Z,KEMX20260322_211805_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_211805_V06,32.31,-110.289333,11.2813,11281.3,DM42uh,56.34,9.54,True,0.0833,True
k7uaz_20260322,KEMX,2026-03-22T21:25:04Z,KEMX20260322_212504_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_212504_V06,32.31,-110.233467,11.3931,11393.1,DM42vh,59.5,9.13,True,-2.9333,True
k7uaz_20260322,KEMX,2026-03-22T21:31:58Z,KEMX20260322_213158_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_213158_V06,32.294133,-110.178267,11.559,11559.0,DM42vh,61.61,8.96,True,3.9667,True
k7uaz_20260322,KEMX,2026-03-22T21:38:52Z,KEMX20260322_213852_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_213852_V06,32.27,-110.13,11.74,11740.0,DM42wg,63.03,8.91,True,0.8667,True
k7uaz_20260322,KEMX,2026-03-22T21:45:50Z,KEMX20260322_214550_V06,cases/k7uaz_20260322/nexrad/KEMX/raw/KEMX20260322_214550_V06,32.27,-110.13,11.74,11740.0,DM42wg,63.03,8.91,True,-2.1667,True
