case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,expected_lat_deg,expected_lon_deg,expected_alt_m,candidate_lat_deg,candidate_lon_deg,candidate_alt_m,horizontal_distance_km,vertical_distance_m,n_gates,max_reflectivity_dbz,mean_reflectivity_dbz,p95_reflectivity_dbz,velocity_mean_ms,spectrum_width_mean_ms,rhohv_mean,distance_score,altitude_score,reflectivity_score,compactness_score,isolation_score,temporal_continuity_score,candidate_score,candidate_rank,candidate_label,notes
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_011,32.33192592592593,-110.52022222222222,7442.962962962963,32.3136874344332,-110.5286520357604,7053.5,2.1772335581405224,389.4629629629626,2,-6.0,-6.5,-6.05,,,,0.7822766441859478,0.8701790123456792,0.11428571428571428,0.9749881522829206,0.9873417721518988,1.0,0.7337843051998479,1,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T22:13:30Z,KEMX20260322_221330_V06,loose,20260322_221330_loose_003,32.248,-109.916,11892.0,32.3356071142956,-109.89226540757926,11563.5,9.99368574126289,328.5,2,0.0,-1.0,-0.1,,,,0.5003157129368555,0.9343,0.2857142857142857,0.9874962514569129,0.9873417721518988,1.0,0.715129489749981,2,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,tight,20260322_200031_tight_008,32.34443703703704,-110.65158888888888,5253.518518518518,32.3308337171867,-110.63436623860466,5121.0,2.214986439819459,132.51851851851825,2,-1.5,-3.5,-1.7000000000000002,0.5,1.0,1.0516666173934937,0.5570027120361082,0.9337407407407409,0.24285714285714285,0.9499735904716774,0.9873417721518988,1.0,0.7148006447063262,3,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T21:59:43Z,KEMX20260322_215943_V06,loose,20260322_215943_loose_003,32.27,-110.02626666666669,11776.566666666668,32.30098341027142,-109.95053051335812,10749.5,7.909280426033386,1027.0666666666675,2,-1.0,-1.25,-1.025,,,,0.6045359786983306,0.7945866666666666,0.2571428571428571,0.987505146245972,0.9873417721518988,1.0,0.7065577584243145,4,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,tight,20260322_200031_tight_006,32.34443703703704,-110.65158888888888,5253.518518518518,32.32596353311618,-110.65226104625074,5084.0,2.055133239582245,169.51851851851825,2,-4.5,-5.25,-4.575,0.5,2.75,1.0516666173934937,0.5889733520835511,0.9152407407407409,0.15714285714285714,0.9499728103705157,0.9873417721518988,1.0,0.7017389928250556,5,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_004,32.33813333333333,-110.5854,6356.666666666667,32.35351621894327,-110.52888685576168,6381.5,5.577677796751033,24.83333333333303,2,-6.5,-6.75,-6.525,,,,0.44223222032489673,0.9917222222222223,0.1,0.9749906325736047,0.9873417721518988,1.0,0.6741204674268555,6,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_010,32.34128888888889,-110.61853333333332,5804.444444444444,32.33048465106528,-110.61633774245374,5686.6,1.2189588058224572,117.84444444444398,5,-6.5,-6.6,-6.5,,,,0.7562082388355085,0.941077777777778,0.1,0.6570140290316732,0.9493670886075949,1.0,0.6736973332052801,7,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,tight,20260322_200031_tight_007,32.34443703703704,-110.65158888888888,5253.518518518518,32.3685033253396,-110.65443837150998,5439.5,2.6894045764876253,185.98148148148175,2,-5.0,-5.0,-5.0,,,,0.4621190847024749,0.9070092592592591,0.14285714285714285,0.9499634796946956,0.9873417721518988,1.0,0.6670767846011468,8,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,tight,20260322_202840_tight_001,32.33192592592593,-110.52022222222222,7442.962962962963,32.3136874344332,-110.5286520357604,7053.5,2.1772335581405224,389.4629629629626,2,-6.0,-6.5,-6.05,,,,0.5645532883718956,0.8052685185185187,0.11428571428571428,0.9499763045658411,0.9873417721518988,1.0,0.665612502938991,9,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,tight,20260322_200031_tight_013,32.34443703703704,-110.65158888888888,5253.518518518518,32.352090895260275,-110.65344171375014,6288.0,0.8686867607661474,1034.4814814814818,2,-6.5,-6.75,-6.525,,,,0.8262626478467705,0.4827592592592591,0.1,0.9499632542402351,0.9873417721518988,1.0,0.6610993689022093,10,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_014,32.33507407407408,-110.55327777777778,6892.037037037037,32.29429967838287,-110.59261317103902,6768.0,5.849822362528902,124.03703703703741,2,-6.5,-7.25,-6.575,,,,0.41501776374710986,0.9586543209876542,0.1,0.9749786901147841,0.9873417721518988,1.0,0.6610819148867898,11,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T21:52:49Z,KEMX20260322_215249_V06,loose,20260322_215249_loose_003,32.27,-110.08665,11759.266666666666,32.345433216614936,-110.00103310618704,10660.0,11.623212765270495,1099.2666666666664,2,-1.5,-2.5,-1.6,,,,0.4188393617364753,0.7801466666666668,0.24285714285714285,0.9874988569702581,0.9873417721518988,1.0,0.6566585164588312,12,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T22:20:24Z,KEMX20260322_222024_V06,loose,20260322_222024_loose_003,32.23,-109.8584,11947.2,32.33331588594555,-109.92276202049648,11261.5,12.984152162264342,685.7000000000007,2,-2.0,-2.25,-2.025,,,,0.3507923918867829,0.8628599999999998,0.22857142857142856,0.9874954753601652,0.9873417721518988,1.0,0.6540340667947991,13,strong_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:57:01Z,KEMX20260322_205701_V06,loose,20260322_205701_loose_005,32.31932592592593,-110.38792222222224,9647.962962962964,32.349069277420384,-110.27252692448312,8635.0,11.335021347045906,1012.9629629629635,2,-4.0,-4.75,-4.075,,,,0.4332489326477047,0.7974074074074073,0.17142857142857143,0.9874936157250824,0.9873417721518988,1.0,0.6493432021970353,14,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_012,32.33192592592593,-110.52022222222222,7442.962962962963,32.37340240396753,-110.48283415321156,7907.5,5.796952740583048,464.5370370370374,2,-5.0,-5.5,-5.05,,,,0.42030472594169516,0.8451543209876542,0.14285714285714285,0.9749920365493786,0.9873417721518988,1.0,0.6483298751743781,15,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T21:04:07Z,KEMX20260322_210407_V06,loose,20260322_210407_loose_005,32.31617037037037,-110.35478888888888,10200.185185185184,32.27783900407058,-110.38282291020248,7197.5,5.010982948260596,3002.6851851851843,2,-7.0,-7.0,-7.0,,,,0.7494508525869702,0.39946296296296313,0.08571428571428572,0.9874952414216096,0.9873417721518988,1.0,0.6286716380605271,16,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T22:13:30Z,KEMX20260322_221330_V06,loose,20260322_221330_loose_002,32.248,-109.916,11892.0,32.36057668399246,-110.00250172545827,10779.5,14.926272749677272,1112.5,2,-1.5,-1.75,-1.525,,,,0.2536863625161364,0.7775,0.24285714285714285,0.9874943112134345,0.9873417721518988,1.0,0.6168223123270271,17,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T22:20:24Z,KEMX20260322_222024_V06,loose,20260322_222024_loose_002,32.23,-109.8584,11947.2,32.28519940329457,-109.76952966712724,10267.0,10.368647495616756,1680.2000000000007,4,-1.5,-1.75,-1.5,,,,0.4815676252191622,0.6639599999999999,0.24285714285714285,0.8344757661902502,0.9620253164556962,1.0,0.6144189348122365,18,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:35:45Z,KEMX20260322_203545_V06,normal,20260322_203545_normal_004,32.32877777777778,-110.48716666666668,7993.888888888889,32.37659300759971,-110.4921952109018,6688.5,5.337759271860143,1305.3888888888887,2,-3.5,-4.25,-3.575,,,,0.46622407281398565,0.5648703703703705,0.18571428571428572,0.9749925796095275,0.9873417721518988,1.0,0.6121652584378202,19,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,tight,20260322_201442_tight_004,32.33813333333333,-110.5854,6356.666666666667,32.32210217807233,-110.58104831559928,5065.5,1.8288765955603246,1291.166666666667,2,-3.0,-4.25,-3.125,,,,0.634224680887935,0.3544166666666665,0.2,0.9499595803416927,0.9873417721518988,1.0,0.6097670821222981,20,moderate_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,tight,20260322_200736_tight_014,32.34128888888889,-110.61853333333332,5804.444444444444,32.32905950899115,-110.62538281255434,7168.5,1.5044296349554844,1364.0555555555557,2,-4.5,-5.0,-4.55,,,,0.699114073008903,0.31797222222222216,0.15714285714285714,0.9499801888349333,0.9873417721518988,1.0,0.6094854404892496,21,moderate_candidate,DBSCAN cluster
