tracklet_id,radar_site,n_points,duration_min,median_abs_vertical_mismatch_m,max_abs_vertical_mismatch_m,median_segment_speed_kmh,max_segment_speed_kmh,path_smoothness_score,corridor_fraction,spaghetti_score,quality_label,status,reject_reason
KEMX_T001,KEMX,6,35.2,73.3,204.0,53.1,76.6,0.7911,1.0,142.88,excellent_plausible_tracklet,plausible,
KEMX_T002,KEMX,6,35.2,93.0,204.0,42.0,72.2,0.8225,1.0,163.05,excellent_plausible_tracklet,plausible,
KEMX_T003,KEMX,6,35.2,28.6,204.0,38.7,74.0,0.7538,1.0,170.9,excellent_plausible_tracklet,plausible,
KEMX_T004,KEMX,7,56.5,46.2,464.5,44.8,106.4,0.8712,1.0,146.14,excellent_plausible_tracklet,plausible,
KEMX_T005,KEMX,6,35.2,93.3,204.0,42.0,56.4,0.7988,1.0,121.34,excellent_plausible_tracklet,plausible,
KEMX_T006,KEMX,6,35.2,88.5,239.0,53.1,80.7,0.8397,1.0,64.62,excellent_plausible_tracklet,plausible,
KEMX_T007,KEMX,8,63.6,38.7,464.5,59.4,106.4,0.8176,1.0,144.05,excellent_plausible_tracklet,plausible,
KEMX_T008,KEMX,6,35.2,28.6,247.5,38.7,74.0,0.7654,1.0,149.58,excellent_plausible_tracklet,plausible,
KEMX_T009,KEMX,6,35.2,112.8,247.5,42.0,72.2,0.8056,1.0,144.36,excellent_plausible_tracklet,plausible,
KEMX_T010,KEMX,6,35.2,63.8,211.5,65.6,74.0,0.853,1.0,77.44,excellent_plausible_tracklet,plausible,
KIWA_T001,KIWA,6,35.6,176.3,510.5,29.9,127.0,0.7864,1.0,191.38,good_plausible_tracklet,plausible,
KIWA_T002,KIWA,6,35.6,176.3,453.0,64.1,127.0,0.8658,1.0,165.31,good_plausible_tracklet,plausible,
KIWA_T003,KIWA,6,35.6,177.2,510.5,39.8,88.5,0.7412,1.0,176.49,good_plausible_tracklet,plausible,
KIWA_T004,KIWA,7,56.9,78.2,334.8,44.8,109.5,0.8685,1.0,75.93,excellent_plausible_tracklet,plausible,
KIWA_T005,KIWA,6,35.6,176.3,453.0,59.4,93.7,0.819,1.0,165.9,good_plausible_tracklet,plausible,
KIWA_T006,KIWA,6,35.6,125.8,510.5,39.9,93.7,0.7306,1.0,178.66,excellent_plausible_tracklet,plausible,
KIWA_T007,KIWA,7,49.8,147.6,510.5,43.3,118.6,0.7969,1.0,201.67,excellent_plausible_tracklet,plausible,
KIWA_T008,KIWA,7,49.8,147.6,453.0,53.1,118.6,0.8636,1.0,193.12,excellent_plausible_tracklet,plausible,
KIWA_T009,KIWA,6,35.6,177.2,453.0,64.1,88.5,0.8206,1.0,163.92,good_plausible_tracklet,plausible,
KIWA_T010,KIWA,7,49.8,183.9,536.5,42.1,127.0,0.8507,1.0,138.96,good_plausible_tracklet,plausible,
