sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_001,KEMX,500,10,5.0,5,804,5,5,1.18,0.711
SWEEP_002,KEMX,500,10,5.0,10,869,5,5,1.18,0.711
SWEEP_003,KEMX,500,10,5.0,25,888,5,5,1.1726,0.7008
SWEEP_004,KEMX,500,10,10.0,5,770,10,10,1.2489,0.7624
SWEEP_005,KEMX,500,10,10.0,10,831,10,10,1.2489,0.7627
SWEEP_006,KEMX,500,10,10.0,25,855,10,10,1.2489,0.7627
SWEEP_007,KEMX,500,10,20.0,5,769,10,10,1.2339,0.7272
SWEEP_008,KEMX,500,10,20.0,10,829,10,10,1.2339,0.7254
SWEEP_009,KEMX,500,10,20.0,25,854,10,10,1.2339,0.7254
SWEEP_010,KEMX,500,20,5.0,5,1691,6,6,1.2113,0.6896
SWEEP_011,KEMX,500,20,5.0,10,1835,6,6,1.2113,0.6896
SWEEP_012,KEMX,500,20,5.0,25,1899,6,6,1.2113,0.6896
SWEEP_013,KEMX,500,20,10.0,5,1642,7,7,1.2107,0.6742
SWEEP_014,KEMX,500,20,10.0,10,1790,5,5,1.2024,0.6769
SWEEP_015,KEMX,500,20,10.0,25,1851,5,5,1.2024,0.6769
SWEEP_016,KEMX,500,20,20.0,5,1641,7,7,1.2107,0.6742
SWEEP_017,KEMX,500,20,20.0,10,1786,5,5,1.2024,0.6769
SWEEP_018,KEMX,500,20,20.0,25,1851,5,5,1.2024,0.6769
SWEEP_019,KEMX,500,40,5.0,5,2896,10,10,1.2737,0.7424
SWEEP_020,KEMX,500,40,5.0,10,3180,10,10,1.2737,0.7424
SWEEP_021,KEMX,500,40,5.0,25,3295,10,10,1.2737,0.7424
SWEEP_022,KEMX,500,40,10.0,5,2863,10,10,1.2715,0.7585
SWEEP_023,KEMX,500,40,10.0,10,3152,10,10,1.2711,0.7561
SWEEP_024,KEMX,500,40,10.0,25,3269,10,10,1.2711,0.7561
SWEEP_025,KEMX,500,40,20.0,5,2861,10,10,1.2713,0.7585
SWEEP_026,KEMX,500,40,20.0,10,3144,10,10,1.271,0.756
SWEEP_027,KEMX,500,40,20.0,25,3267,10,10,1.271,0.756
SWEEP_028,KEMX,500,60,5.0,5,3958,10,10,1.2737,0.7424
SWEEP_029,KEMX,500,60,5.0,10,4368,10,10,1.2737,0.7424
SWEEP_030,KEMX,500,60,5.0,25,4549,10,10,1.2737,0.7424
SWEEP_031,KEMX,500,60,10.0,5,3896,10,10,1.2715,0.7585
SWEEP_032,KEMX,500,60,10.0,10,4308,10,10,1.2711,0.7561
SWEEP_033,KEMX,500,60,10.0,25,4492,10,10,1.2711,0.7561
SWEEP_034,KEMX,500,60,20.0,5,3893,10,10,1.2713,0.7585
SWEEP_035,KEMX,500,60,20.0,10,4297,10,10,1.271,0.756
SWEEP_036,KEMX,500,60,20.0,25,4487,10,10,1.271,0.756
SWEEP_037,KEMX,1000,10,5.0,5,1202,1,1,1.232,0.7176
SWEEP_038,KEMX,1000,10,5.0,10,1271,1,1,1.232,0.7176
SWEEP_039,KEMX,1000,10,5.0,25,1295,1,1,1.232,0.7176
