association_id,radar_sites,tracklet_ids,n_radars,time_overlap_min,n_overlap_samples,median_altitude_difference_m,median_horizontal_difference_km,mean_telemetry_consistency_score,cross_radar_score,association_label,notes
A001,KEMX;KIWA,KEMX_T004;KIWA_T001,2,8.8,4,143.8,9.83,0.8356,0.8597,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=144m"
A002,KEMX;KIWA,KEMX_T004;KIWA_T002,2,8.8,4,143.8,9.83,0.8222,0.8571,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=144m"
A003,KEMX;KIWA,KEMX_T004;KIWA_T003,2,8.8,4,171.4,9.76,0.8335,0.8543,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=171m"
A004,KEMX;KIWA,KEMX_T004;KIWA_T009,2,8.8,4,171.4,9.76,0.8201,0.8517,strong_cross_radar_candidate,"Associated: overlap=8.8m, med_h=9.8km, med_v=171m"
A005,KEMX;KIWA,KEMX_T004;KIWA_T005,2,8.8,4,170.5,10.21,0.8205,0.8483,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=10.2km, med_v=170m"
A006,KEMX;KIWA,KEMX_T004;KIWA_T006,2,8.8,4,223.8,10.59,0.832,0.8369,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=10.6km, med_v=224m"
A007,KEMX;KIWA,KEMX_T003;KIWA_T001,2,8.8,4,91.8,15.05,0.8036,0.822,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A008,KEMX;KIWA,KEMX_T003;KIWA_T003,2,8.8,4,119.4,14.32,0.8015,0.8219,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A009,KEMX;KIWA,KEMX_T008;KIWA_T001,2,8.8,4,91.8,15.05,0.7993,0.8211,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A010,KEMX;KIWA,KEMX_T008;KIWA_T003,2,8.8,4,119.4,14.32,0.7972,0.821,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A011,KEMX;KIWA,KEMX_T005;KIWA_T001,2,8.8,4,192.6,12.67,0.8044,0.821,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=12.7km, med_v=193m"
A012,KEMX;KIWA,KEMX_T004;KIWA_T007,2,23.1,7,86.7,15.88,0.8198,0.8195,moderate_cross_radar_candidate,"Associated: overlap=23.1m, med_h=15.9km, med_v=87m"
A013,KEMX;KIWA,KEMX_T003;KIWA_T002,2,8.8,4,91.8,15.05,0.7903,0.8193,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
A014,KEMX;KIWA,KEMX_T003;KIWA_T009,2,8.8,4,119.4,14.32,0.7883,0.8192,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=14.3km, med_v=119m"
A015,KEMX;KIWA,KEMX_T008;KIWA_T002,2,8.8,4,91.8,15.05,0.786,0.8184,moderate_cross_radar_candidate,"Associated: overlap=8.8m, med_h=15.1km, med_v=92m"
