tracklet_id,tracklet_rank,case_id,radar_site,scan_time_utc,scan_filename,cluster_id,cluster_lat_deg,cluster_lon_deg,cluster_alt_m,n_gates,max_reflectivity_dbz,mean_reflectivity_dbz,p95_reflectivity_dbz,velocity_mean_ms,spectrum_width_mean_ms,rhohv_mean,compactness_km,range_km,azimuth_deg,elevation_deg,expected_alt_m,signed_vertical_m,abs_vertical_distance_m,nearest_grid,distance_to_nearest_grid_center_km,distance_to_track_corridor_km,inside_or_near_grid_corridor,balloon_like_cluster_score,notes
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_497,32.387394,-110.634818,4706.5,2,-3.0,-3.75,-3.1,,,,0.125,55.0,359.6,3.03,4701.3,5.2,5.2,DM42pi,6.45,4.93,True,0.7911,DBSCAN cluster discovery candidate
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_873,32.330834,-110.634366,5121.0,2,-1.5,-3.5,-1.7,0.5,1.0,1.052,0.125,48.75,359.5,3.96,5253.5,-132.5,132.5,DM42pi,2.21,1.32,True,0.7954,DBSCAN cluster discovery candidate
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_663,32.307385,-110.65124,5818.5,2,-5.0,-5.75,-5.1,,,,0.125,46.25,357.5,5.05,5804.4,14.1,14.1,DM42pi,4.86,4.1,True,0.7858,DBSCAN cluster discovery candidate
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,KEMX_20260322_201442_629,32.269329,-110.736586,6528.5,2,-6.0,-6.75,-6.1,0.75,4.25,1.052,0.125,43.25,346.5,6.37,6356.7,171.8,171.8,DM42oh,16.14,6.46,True,0.6922,DBSCAN cluster discovery candidate
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,KEMX_20260322_202135_568,32.279594,-110.747895,6688.0,3,-5.5,-6.5,-5.6,,0.0,1.052,0.25,44.62,345.6,6.37,6892.0,-204.0,204.0,DM42oh,19.3,4.93,True,0.6571,DBSCAN cluster discovery candidate
KEMX_T001,1,k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,KEMX_20260322_202840_319,32.331478,-110.783348,7445.7,3,-4.5,-5.33,-4.5,,,,0.25,51.12,343.5,6.37,7443.0,2.7,2.7,DM42oh,24.72,1.74,True,0.676,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_497,32.387394,-110.634818,4706.5,2,-3.0,-3.75,-3.1,,,,0.125,55.0,359.6,3.03,4701.3,5.2,5.2,DM42pi,6.45,4.93,True,0.7911,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_869,32.368503,-110.654438,5439.5,2,-5.0,-5.0,-5.0,,,,0.125,53.0,357.5,3.96,5253.5,186.0,186.0,DM42pi,2.69,2.63,True,0.7623,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_649,32.303262,-110.702162,5818.5,2,-6.5,-7.25,-6.6,,,,0.125,46.25,351.6,5.05,5804.4,14.1,14.1,DM42pi,8.92,4.85,True,0.7569,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,KEMX_20260322_201442_629,32.269329,-110.736586,6528.5,2,-6.0,-6.75,-6.1,0.75,4.25,1.052,0.125,43.25,346.5,6.37,6356.7,171.8,171.8,DM42oh,16.14,6.46,True,0.6922,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,KEMX_20260322_202135_568,32.279594,-110.747895,6688.0,3,-5.5,-6.5,-5.6,,0.0,1.052,0.25,44.62,345.6,6.37,6892.0,-204.0,204.0,DM42oh,19.3,4.93,True,0.6571,DBSCAN cluster discovery candidate
KEMX_T002,2,k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,KEMX_20260322_202840_319,32.331478,-110.783348,7445.7,3,-4.5,-5.33,-4.5,,,,0.25,51.12,343.5,6.37,7443.0,2.7,2.7,DM42oh,24.72,1.74,True,0.676,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_497,32.387394,-110.634818,4706.5,2,-3.0,-3.75,-3.1,,,,0.125,55.0,359.6,3.03,4701.3,5.2,5.2,DM42pi,6.45,4.93,True,0.7911,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_860,32.339373,-110.708662,5233.5,2,-5.0,-5.25,-5.0,-0.5,7.0,1.052,0.125,50.25,351.5,3.96,5253.5,-20.0,20.0,DM42pi,5.39,1.08,True,0.782,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_641,32.30168,-110.728036,5841.5,2,-3.5,-4.75,-3.6,,,,0.125,46.5,348.5,5.05,5804.4,37.1,37.1,DM42pi,11.19,3.77,True,0.7581,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,KEMX_20260322_201442_629,32.269329,-110.736586,6528.5,2,-6.0,-6.75,-6.1,0.75,4.25,1.052,0.125,43.25,346.5,6.37,6356.7,171.8,171.8,DM42oh,16.14,6.46,True,0.6922,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,KEMX_20260322_202135_568,32.279594,-110.747895,6688.0,3,-5.5,-6.5,-5.6,,0.0,1.052,0.25,44.62,345.6,6.37,6892.0,-204.0,204.0,DM42oh,19.3,4.93,True,0.6571,DBSCAN cluster discovery candidate
KEMX_T003,3,k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,KEMX_20260322_202840_319,32.331478,-110.783348,7445.7,3,-4.5,-5.33,-4.5,,,,0.25,51.12,343.5,6.37,7443.0,2.7,2.7,DM42oh,24.72,1.74,True,0.676,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_489,32.391056,-110.760378,4810.5,2,-1.5,-2.25,-1.6,1.75,9.5,1.052,0.125,56.75,347.5,3.03,4701.3,109.2,109.2,DM42pi,8.59,6.35,True,0.7681,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_860,32.339373,-110.708662,5233.5,2,-5.0,-5.25,-5.0,-0.5,7.0,1.052,0.125,50.25,351.5,3.96,5253.5,-20.0,20.0,DM42pi,5.39,1.08,True,0.782,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_663,32.307385,-110.65124,5818.5,2,-5.0,-5.75,-5.1,,,,0.125,46.25,357.5,5.05,5804.4,14.1,14.1,DM42pi,4.86,4.1,True,0.7858,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,KEMX_20260322_201442_471,32.353516,-110.528887,6381.5,2,-6.5,-6.75,-6.5,,,,0.125,52.25,10.5,5.05,6356.7,24.8,24.8,DM42pi,5.58,2.3,True,0.7715,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,KEMX_20260322_202135_228,32.367675,-110.505281,6583.0,2,-5.5,-6.25,-5.6,,,,0.125,54.25,12.6,5.07,6892.0,-309.0,309.0,DM42pi,5.79,4.11,True,0.7194,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,KEMX_20260322_202840_338,32.373402,-110.482834,7907.5,2,-5.0,-5.5,-5.0,,,,0.125,55.5,14.5,6.32,7443.0,464.5,464.5,DM42uh,5.8,4.98,True,0.6911,DBSCAN cluster discovery candidate
KEMX_T004,4,k7uaz_20260322,KEMX,2026-03-22T20:49:55Z,KEMX20260322_204955_V06,KEMX_20260322_204955_213,32.427367,-110.367497,9049.5,2,-5.0,-5.0,-5.0,,,,0.125,64.75,22.6,6.37,9095.7,-46.2,46.2,DM42uh,12.7,12.17,True,0.7402,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_495,32.39856,-110.687353,4795.5,2,-3.0,-3.25,-3.0,,,,0.125,56.5,354.5,3.03,4701.3,94.2,94.2,DM42pi,5.67,5.61,True,0.7772,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_864,32.354786,-110.69198,5346.0,2,-3.0,-3.25,-3.0,0.0,0.75,,0.125,51.75,353.5,3.96,5253.5,92.5,92.5,DM42pi,3.96,0.72,True,0.786,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_649,32.303262,-110.702162,5818.5,2,-6.5,-7.25,-6.6,,,,0.125,46.25,351.6,5.05,5804.4,14.1,14.1,DM42pi,8.92,4.85,True,0.7569,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,KEMX_20260322_201442_629,32.269329,-110.736586,6528.5,2,-6.0,-6.75,-6.1,0.75,4.25,1.052,0.125,43.25,346.5,6.37,6356.7,171.8,171.8,DM42oh,16.14,6.46,True,0.6922,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,KEMX_20260322_202135_568,32.279594,-110.747895,6688.0,3,-5.5,-6.5,-5.6,,0.0,1.052,0.25,44.62,345.6,6.37,6892.0,-204.0,204.0,DM42oh,19.3,4.93,True,0.6571,DBSCAN cluster discovery candidate
KEMX_T005,5,k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,KEMX_20260322_202840_319,32.331478,-110.783348,7445.7,3,-4.5,-5.33,-4.5,,,,0.25,51.12,343.5,6.37,7443.0,2.7,2.7,DM42oh,24.72,1.74,True,0.676,DBSCAN cluster discovery candidate
KEMX_T006,6,k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,KEMX_20260322_195325_599,32.229177,-110.725138,4729.8,4,-6.5,-8.0,-6.6,,,,0.391,38.5,346.5,4.5,4701.3,28.4,28.4,DM42oh,13.7,10.85,True,0.6977,DBSCAN cluster discovery candidate
KEMX_T006,6,k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,KEMX_20260322_200031_1002,32.275286,-110.665351,5492.5,2,-3.5,-6.0,-3.8,,,,0.125,42.75,355.6,5.05,5253.5,239.0,239.0,DM42pi,7.8,7.79,True,0.7347,DBSCAN cluster discovery candidate
KEMX_T006,6,k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,KEMX_20260322_200736_663,32.307385,-110.65124,5818.5,2,-5.0,-5.75,-5.1,,,,0.125,46.25,357.5,5.05,5804.4,14.1,14.1,DM42pi,4.86,4.1,True,0.7858,DBSCAN cluster discovery candidate
