review_rank,item_id,radar_sites,type_label,time_range,n_scans,altitude_agreement_m,horizontal_offset_km,motion_consistency_ms,reflectivity_mean_dbz,reflectivity_max_dbz,velocity_mean_ms,velocity_max_ms,spectrum_width_mean_ms,spectrum_width_max_ms,weather_contamination,ground_clutter,biological_echo,anomalous_propagation,isolated_artifact,impossible_jump,evidence_score,evidence_score_reason,positive_evidence_count,negative_flag_count,verdict_v1_1,review_priority_score,verdict_v1,verdict_changed_from_v1
1,A001,KEMX;KIWA,cross-radar,19:26 – 20:49 UTC,13,69.7,3.23,1.8400452892977028,-1.6976923076923076,4.1,0.355,2.0,5.5825,9.5,False,True,True,False,False,True,4,"Positive: altitude agreement 70 m < 150 m threshold; horizontal offset 3.2 km < 15 km threshold; motion consistency (σ=1.84 m/s) < 3.0 m/s; persists across 13 scans (≥5 required); reflectivity -1.7 dBZ in balloon-plausible range [−15, +5]; velocity 0.4 m/s within plausible drift range (|v| < 30 m/s); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",7,3,likely false positive,0.8597,strong candidate,True
2,A007,KEMX;KIWA,cross-radar,19:26 – 20:28 UTC,12,53.400000000000006,3.2199999999999998,1.644921477355885,-1.4708333333333332,4.1,0.10499999999999998,2.0,3.4159999999999995,7.0,False,True,True,False,False,True,5,"Positive: altitude agreement 53 m < 150 m threshold; horizontal offset 3.2 km < 15 km threshold; motion consistency (σ=1.64 m/s) < 3.0 m/s; persists across 12 scans (≥5 required); reflectivity -1.5 dBZ in balloon-plausible range [−15, +5]; velocity 0.1 m/s within plausible drift range (|v| < 30 m/s); spectrum width 3.4 m/s < 4.0 m/s (narrow, non-weather); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",8,3,likely false positive,0.822,strong candidate,True
3,A012,KEMX;KIWA,cross-radar,19:26 – 20:49 UTC,14,89.45,3.76,1.7859255303623387,-0.8871428571428571,9.0,0.284,2.5,5.4575,9.5,False,True,True,False,False,True,4,"Positive: altitude agreement 89 m < 150 m threshold; horizontal offset 3.8 km < 15 km threshold; motion consistency (σ=1.79 m/s) < 3.0 m/s; persists across 14 scans (≥5 required); reflectivity -0.9 dBZ in balloon-plausible range [−15, +5]; velocity 0.3 m/s within plausible drift range (|v| < 30 m/s); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",7,3,likely false positive,0.8195,strong candidate,True
4,A051,KEMX;KIWA,cross-radar,19:26 – 20:28 UTC,13,94.2,3.42,1.6001656164284996,-0.6153846153846154,9.0,0.184,2.5,2.066,4.33,False,True,True,False,False,True,5,"Positive: altitude agreement 94 m < 150 m threshold; horizontal offset 3.4 km < 15 km threshold; motion consistency (σ=1.60 m/s) < 3.0 m/s; persists across 13 scans (≥5 required); reflectivity -0.6 dBZ in balloon-plausible range [−15, +5]; velocity 0.2 m/s within plausible drift range (|v| < 30 m/s); spectrum width 2.1 m/s < 4.0 m/s (narrow, non-weather); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",8,3,likely false positive,0.7949,plausible but weak,True
5,A078,KEMX;KIWA,cross-radar,19:26 – 20:28 UTC,12,106.85,3.665,2.708218971944477,-1.485,4.1,0.08499999999999996,2.0,2.915,4.33,False,True,True,False,False,True,5,"Positive: altitude agreement 107 m < 150 m threshold; horizontal offset 3.7 km < 15 km threshold; motion consistency (σ=2.71 m/s) < 3.0 m/s; persists across 12 scans (≥5 required); reflectivity -1.5 dBZ in balloon-plausible range [−15, +5]; velocity 0.1 m/s within plausible drift range (|v| < 30 m/s); spectrum width 2.9 m/s < 4.0 m/s (narrow, non-weather); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",8,3,likely false positive,0.7803,plausible but weak,True
6,A098,KEMX;KIWA,cross-radar,19:26 – 20:28 UTC,13,144.0,4.1,2.2180246466920366,-0.6284615384615384,9.0,0.05666666666666664,2.5,2.665,4.33,False,True,True,False,False,True,5,"Positive: altitude agreement 144 m < 150 m threshold; horizontal offset 4.1 km < 15 km threshold; motion consistency (σ=2.22 m/s) < 3.0 m/s; persists across 13 scans (≥5 required); reflectivity -0.6 dBZ in balloon-plausible range [−15, +5]; velocity 0.1 m/s within plausible drift range (|v| < 30 m/s); spectrum width 2.7 m/s < 4.0 m/s (narrow, non-weather); cross-radar corroboration from ≥2 independent sites | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude); impossible trajectory jump (speed > 150 km/h)",8,3,likely false positive,0.7502,plausible but weak,True
7,KIWA_F001,KIWA,single-radar,19:26 – 20:23 UTC,7,78.2,6.92,2.5518881898181456,2.1014285714285714,5.38,-1.2233333333333334,0.25,1.6500000000000001,4.83,False,True,True,False,False,False,5,"Positive: altitude agreement 78 m < 150 m threshold; horizontal offset 6.9 km < 15 km threshold; motion consistency (σ=2.55 m/s) < 3.0 m/s; persists across 7 scans (≥5 required); reflectivity 2.1 dBZ in balloon-plausible range [−15, +5]; velocity -1.2 m/s within plausible drift range (|v| < 30 m/s); spectrum width 1.7 m/s < 4.0 m/s (narrow, non-weather) | Negative: ground clutter / low-elevation risk; biological echo risk (low reflectivity at low altitude)",7,2,likely false positive,0.7977,plausible but weak,True
8,KEMX_F001,KEMX,single-radar,19:53 – 20:57 UTC,8,38.7,4.105,,-4.75,0.0,0.5,0.5,1.375,2.75,False,False,False,False,False,False,6,"Positive: altitude agreement 39 m < 150 m threshold; horizontal offset 4.1 km < 15 km threshold; persists across 8 scans (≥5 required); reflectivity -4.8 dBZ in balloon-plausible range [−15, +5]; velocity 0.5 m/s within plausible drift range (|v| < 30 m/s); spectrum width 1.4 m/s < 4.0 m/s (narrow, non-weather)",6,0,strong candidate,0.7862,plausible but weak,True
9,KEMX_F002,KEMX,single-radar,19:53 – 20:28 UTC,6,63.8,4.154999999999999,,-4.25,-1.5,-0.5,-0.5,4.0,7.0,False,False,False,False,False,False,5,"Positive: altitude agreement 64 m < 150 m threshold; horizontal offset 4.2 km < 15 km threshold; persists across 6 scans (≥5 required); reflectivity -4.2 dBZ in balloon-plausible range [−15, +5]; velocity -0.5 m/s within plausible drift range (|v| < 30 m/s)",5,0,strong candidate,0.7135,plausible but weak,True
10,KEMX_F003,KEMX,single-radar,19:53 – 20:28 UTC,6,88.5,7.7,,-5.416666666666667,-2.5,,,,,False,False,False,False,False,False,4,"Positive: altitude agreement 88 m < 150 m threshold; horizontal offset 7.7 km < 15 km threshold; persists across 6 scans (≥5 required); reflectivity -5.4 dBZ in balloon-plausible range [−15, +5]",4,0,strong candidate,0.7031,plausible but weak,True
